"gene_symbol","log_fc_with_age","fdr_with_age","log_fc_without_age","fdr_without_age"
"ABCA6",0.987406307779134,0.159485370768948,0.968711099529165,0.184936042130876
"ABCA8",0.77993490416149,0.230387507739447,0.796761505618334,0.238225707264801
"ABCA9",0.251101601671154,0.731244112687471,0.285258777822036,0.71020363075534
"ABCB1",0.35477701775276,0.564017738124286,0.342166915298895,0.591574861620806
"ABCB10",-0.131347603777541,0.718020938972576,-0.141546670983812,0.709297422369765
"ABCB6",-1.22103553378934,0.0483587338496479,-1.15638317601152,0.101537099313114
"ABCB7",-0.785330429129807,0.0376999381310986,-0.736896966941019,0.0974468396039135
"ABCB8",0.064522433414921,0.756280926006969,0.07256520307046,0.741582266387362
"ABCB9",-0.0878509274320889,0.834398843694276,-0.0819044439267649,0.851923678069622
"ABCC1",-0.521735143465913,0.0287962117675858,-0.47822332017881,0.114861812378277
"ABCC10",0.11794513068001,0.704655922935348,0.0991427042027375,0.776548733467101
"ABCC11",-1.47033144183396,0.33796364668365,-1.34568023777359,0.424228601095586
"ABCC2",-0.893472998019964,0.0970669118181805,-0.909886804527431,0.115212792896774
"ABCC4",1.04215631159928,0.137532393219017,1.02273686991192,0.16301838108515
"ABCC5",0.486852599706102,0.076728007041888,0.439331016945054,0.204189634534144
"ABCC6",0.2003813807738,0.617657817600599,0.198311460398465,0.632241166384891
"ABCC9",0.295972543421986,0.502142390695486,0.262516719467937,0.591648600953206
"ABCD1",-0.380562403025215,0.302974032678254,-0.375474235564332,0.324319121571523
"ABCD3",-1.14673470858703,0.0278227479487906,-1.03768400983302,0.131786182033198
"ABCD4",-0.440483637538201,0.10386270850566,-0.418666644574956,0.158746071752366
"ABCE1",-0.368497248392718,0.232108559221158,-0.313557196303446,0.439277800086221
"ABCF1",0.188895053581351,0.294261668386905,0.169593969808736,0.414679115374317
"ABCF2",0.134693567005593,0.566880519258865,0.130476459711364,0.594008306673563
"ABCF3",-0.0559292656215575,0.782886010665984,-0.0691095449367722,0.75220326305176
"ABCG1",2.09067266128436,0.0323398628272821,1.96262610462983,0.0896124580171885
"ABCG2",0.301157203781441,0.505746726230789,0.296597130556006,0.52583955811654
"ABCG4",1.44201500201662,0.0348477428137284,1.37085406356229,0.0827767143280391
"ABHD10",0.212020319256063,0.500324833831107,0.202725340716722,0.539988558924014
"ABHD11",-0.406366872092249,0.298578286438706,-0.36790677113285,0.404395887342599
"ABHD12",0.288494613164155,0.256503162062903,0.226565006248926,0.567799358891743
"ABHD12B",1.74369333515359,0.0517085715074497,1.63559221309384,0.116033530146159
"ABHD13",-0.312385106839036,0.397601685186928,-0.284960825900852,0.47966948795858
"ABHD14B",-0.812667849203249,0.120347935331019,-0.763896758128986,0.186158709406142
"ABHD15",-2.17380745185446,0.0162137740761792,-2.04900575712413,0.0617264967433908
"ABHD16A",0.0183243903982593,0.944848481140293,0.00941215226580017,0.974038165068298
"ABHD17A",-0.267332373070861,0.371392916638692,-0.275000535322364,0.373433452041456
"ABHD17B",-0.0212126047629435,0.963640512662068,-0.00325439710648556,0.99391589855198
"ABHD17C",-0.374045233857142,0.164557414126102,-0.331701329075557,0.319815911452732
"ABHD18",-0.234917231246075,0.442115378984956,-0.196000853249822,0.598294361614061
"ABHD2",-1.50552910476792,0.0307848526766963,-1.39935197291128,0.0970739612812161
"ABHD3",-1.75330207695797,0.0143684438123517,-1.66799258240079,0.0529371863605162
"ABHD4",0.495231758505659,0.0439679128694114,0.468620071367373,0.0974765354431297
"ABHD5",-1.30015603810964,0.137622776882831,-1.18412570362255,0.250507610994413
"ABHD6",-0.266295979511602,0.360773801712208,-0.282059391719105,0.357131043986373
"ABHD8",0.0570052104378869,0.917710022813969,0.0729234646576993,0.899859472090134
"ABI1",-0.0437002749251452,0.91265237231733,-0.0218231310331882,0.962246283589301
"ABI2",0.0292093008261167,0.945832564580571,0.0269252768804513,0.952402934120449
"ABI3",1.41544552463535,0.0292846866374986,1.32958470983019,0.0842208645389246
"ABI3BP",-1.7318045687497,0.21225476160465,-1.59824325182464,0.300449912695058
"ABITRAM",-0.191954654684634,0.562348493809656,-0.164923840907155,0.658579155183056
"ABL1",0.317478479802775,0.163245125354378,0.333554712289835,0.177573930135552
"ABL2",0.00103514802428428,0.999314734246475,0.0274415253751688,0.975374417000712
"ABLIM1",-0.11899370437418,0.735201411831234,-0.0724049985345392,0.878993502968563
"ABLIM2",-0.794704895896413,0.0704028919506467,-0.787156654827854,0.0945550432160544
"ABLIM3",-0.571415879593008,0.497054981540323,-0.498393424922986,0.598867454708699
"ABR",0.0532128516529085,0.822809228195627,0.0441283604229517,0.864340560196345
"ABRACL",-1.37349317878707,0.0829549261381345,-1.30441002904485,0.136620367393685
"ABRAXAS1",0.0650603110260892,0.90045221725643,0.0927858690299379,0.866272475098458
"ABRAXAS2",-0.026367560241094,0.924764307668547,-0.0163586031460285,0.957904923913452
