"gene_symbol","log_fc_with_age","fdr_with_age","log_fc_without_age","fdr_without_age"
"SPATA25",0.0649034389756109,0.888280147919682,0.0538858337825805,0.90672778850633
"SPATA2L",0.212859089519608,0.426399274377695,0.22982957470707,0.411654434790417
"SPATA5",0.00453555806520622,0.984115139442726,0.0126309213206017,0.956178469649651
"SPATA5L1",-0.0389836294754806,0.884902878418578,-0.0596958514040336,0.837974583258885
"SPATA6",0.080628119246442,0.753635203984391,0.0699957214285236,0.790513524878039
"SPATA7",-0.283273492514464,0.197150267837492,-0.295324057411266,0.190352052396903
"SPATC1",-0.564707834121286,0.512693448683655,-0.602294829829067,0.487914082102577
"SPATS2",0.0292404781075257,0.816504805278097,0.0222882506538129,0.869019927555146
"SPATS2L",-0.271241586741786,0.373046955642695,-0.256078977484073,0.411654434790417
"SPC24",0.632291589010798,0.271738953837749,0.615510496827189,0.280209273353865
"SPCS1",-0.191400642267061,0.173178923085822,-0.186112951153684,0.188894506492595
"SPCS2",-0.0703733236060389,0.583203084596508,-0.0657106361539235,0.619018872505586
"SPCS3",0.0840967757191864,0.664080025917555,0.0728772432249034,0.724065621695408
"SPDL1",0.790487248166095,0.0928352318688349,0.7702170017308,0.101604301173408
"SPDYC",0.274087657265241,0.600806412747501,0.292765711011554,0.575086362534173
"SPECC1",0.517589416447742,0.0590025683035812,0.518539438329495,0.052041202084747
"SPECC1L",0.378612599449776,0.0302533968293133,0.377783930767188,0.0268722362635835
"SPEF1",0.605594719976067,0.323318053974426,0.596879436594523,0.320326569497908
"SPEF2",-0.198029712360522,0.650123667429677,-0.216462263842482,0.621485520296794
"SPEG",0.995115363011586,0.0336531499672269,1.00629437626486,0.0288133540906998
"SPEN",0.0433730449368381,0.787480315821336,0.038778778584156,0.813421865910712
"SPG11",-0.127680429151775,0.549254109075449,-0.147492005674039,0.538497390346619
"SPG21",-0.102062009461361,0.522813905524563,-0.106917297025519,0.504168546341022
"SPG7",-0.353157626701748,0.0295190929909563,-0.342898586607528,0.0385575148862289
"SPHK1",0.877643035105645,0.0559628987332253,0.893019018943227,0.04948333741026
"SPHK2",-0.358289154407022,0.0543811744140374,-0.34773002613288,0.0662130943078047
"SPI1",2.05561331810846,0.0321178422322816,2.08688724918781,0.0277096386312101
"SPIB",4.04204885146729,0.0173837458248358,4.0841758316319,0.0141010765844498
"SPICE1",-0.205376552805458,0.25455984529111,-0.202156844737078,0.255078223073278
"SPIDR",1.00987407164076,0.0207186630246682,1.01474953015066,0.0168984151319037
"SPIN1",-0.0736626862353607,0.67203058525734,-0.0877732829223588,0.646688880698609
"SPINDOC",0.105386114892289,0.665799417686647,0.120245413547466,0.638534051986728
"SPINK5",-1.29150723340223,0.0386301542630726,-1.28289743385233,0.0344997500904939
"SPINT1",0.30203833709291,0.20123316836112,0.290736195352403,0.225042795887134
"SPINT2",0.00994938636620279,0.970447614991609,0.00449409460173733,0.985720057142729
"SPIRE1",-0.858906346636969,0.0315934178966161,-0.859122747371955,0.0268074734089491
"SPIRE2",-0.0213300613723879,0.95801440923891,-0.0210849855350004,0.956996926040066
"SPN",2.27643183208247,0.0334276836056819,2.31045340228054,0.0288562233352037
"SPNS1",-0.271044835022006,0.0704311902571887,-0.257704013261711,0.113551584798845
"SPNS2",-0.279591055395769,0.382152983238238,-0.264700611481344,0.416849505603326
"SPNS3",0.209759306692166,0.686134299010213,0.22814314538949,0.659297297913585
"SPOCD1",0.351738647116843,0.574634989596565,0.36477095479939,0.554870947813371
"SPOCK2",0.0252705199831018,0.967060731392542,0.0406434941980915,0.946092291927039
"SPOCK3",-0.706888858041791,0.353722954561636,-0.673319275041587,0.383578748132592
"SPON1",1.90761880617529,0.00655177768067477,1.91190573466421,0.00491074343114614
"SPON2",1.30129318862945,0.0646909234837626,1.31611579406079,0.0566380259108661
"SPOP",-0.155947767902263,0.177140725746628,-0.153004651765507,0.186255918671153
"SPOPL",-0.27827202931133,0.426275658125842,-0.290212542147423,0.404869144198169
"SPOUT1",0.0282613834377692,0.907866771686454,0.0449463750178545,0.862416426159289
"SPP1",4.27808182238702,0.00810044516608585,4.21975505618858,0.00745063332044032
"SPP2",-2.92936089834357,0.222209190553788,-3.05359922723611,0.209649795310876
"SPPL2A",-0.337958148015984,0.229633241991942,-0.363343598185587,0.240067759482272
"SPPL2B",-0.253999157067633,0.282656919838026,-0.258037614496819,0.265957634737197
"SPPL3",0.0932835340990241,0.459027198088545,0.0958173350698965,0.448138884130936
"SPR",-0.755597658742623,0.015517381476964,-0.74075875188033,0.0165687108238686
"SPRED1",0.246334816918471,0.367863937809533,0.236844828068835,0.388097013920167
"SPRED2",-0.205906756037231,0.292547721666295,-0.214006437060353,0.276427773563559
"SPRED3",0.97555654023049,0.0343835973954188,0.975633486748663,0.0294982211855303
"SPRING1",-0.420781537902351,0.045902138135853,-0.411414560215356,0.0498561466846186
"SPRN",0.209892918403026,0.761189433992576,0.254977706316756,0.726308139474579
"SPRTN",0.165066563515633,0.351057568667966,0.15098651194306,0.437514010698031
"SPRY1",0.37875702013974,0.129264591448824,0.377187431038325,0.121105292651264
"SPRY2",0.304213641574942,0.135727866923706,0.298448854457291,0.139413085914292
"SPRY4",-0.289230461947894,0.420936558633739,-0.291809507123515,0.405488747137128
"SPRYD3",0.396688743511557,0.0469760741718459,0.409978248170781,0.0483508574435684
"SPRYD4",-0.412257219854855,0.0901452856853037,-0.417862547821587,0.0812995405676725
"SPRYD7",0.148599514798916,0.426222338580338,0.145120448776792,0.434513537207373
"SPSB1",2.1936107433415,0.00409405845559335,2.20388240002269,0.00302768563809349
"SPSB2",0.135960755109497,0.502006588865349,0.163564215357265,0.526309980023553
"SPSB3",-0.144338603354661,0.380848480870955,-0.134160898459817,0.441395350768546
"SPTA1",1.09209769805134,0.323681647625647,1.05410557707499,0.339566552418413
"SPTAN1",-0.351224050631686,0.0906451413108043,-0.344664159275649,0.0960807296460449
"SPTB",0.24079205574498,0.473898694132159,0.269952673353421,0.465894071567113
"SPTBN1",-0.352229060481978,0.142114487892279,-0.357493367460942,0.132293248242303
"SPTBN2",-0.472301696276074,0.213557260071741,-0.493723256753751,0.203972327141836
"SPTBN4",0.122354609106213,0.809295674761837,0.144468364286474,0.779069004841888
"SPTBN5",0.0247289510355404,0.988950795786911,0.0324626457096211,0.984192917493777
"SPTLC1",0.0415525791844029,0.670400129744145,0.03239392995361,0.780051893492489
