"gene_symbol","compartment","contrast","log_fc","ave_expr","t_stat","p_value","fdr"
"VSIR","medulla","early_vs_control",1.03850425032883,5.93571536281111,5.09961854845352,0.000111084571121345,0.0140471024482776
"MMUT","medulla","early_vs_control",-1.20604297544045,5.81334510537327,-5.09889028498914,0.000111245728420257,0.0140471024482776
"CDC42EP1","medulla","early_vs_control",1.16783433583557,6.90344506777856,5.09793318918198,0.000111457890229787,0.0140471024482776
"MYO1C","medulla","early_vs_control",0.605143145416491,8.17835802392875,5.08678473088455,0.00011199797411115,0.0140471024482776
"EFHD2","medulla","early_vs_control",1.14525131232348,5.7989381699425,5.09266289645905,0.000112633657258984,0.0140471024482776
"ZMAT3","medulla","early_vs_control",-1.11009934982844,4.879654666669,-5.08713879998906,0.00011387976336532,0.0140471024482776
"RASSF1","medulla","early_vs_control",0.99695406350454,4.89920219025075,5.08406818772043,0.000114096643030596,0.0140471024482776
"CDHR1","medulla","early_vs_control",-3.1389178813003,3.45589946783954,-5.08354416443782,0.000114698245170324,0.0140471024482776
"PTPN5","medulla","early_vs_control",1.79313512980981,2.96177913465391,5.0821733177582,0.000115011973932973,0.0140471024482776
"CSTB","medulla","early_vs_control",1.27458375512598,6.16494498411697,5.06679652383769,0.000118592217862176,0.0143684438123517
"GSTM3","medulla","early_vs_control",1.60456748422688,3.46853482266468,5.05673034696639,0.000120997933941872,0.0143684438123517
"CHST1","medulla","early_vs_control",1.69105943897893,5.02072511666781,5.05438639396094,0.000121565291220662,0.0143684438123517
"ARHGAP28","medulla","early_vs_control",-1.75630541853671,4.02011305060965,-5.04452740296317,0.000123981819675688,0.0143684438123517
"LOC101100942","medulla","early_vs_control",0.859501810007315,7.31603765167393,5.03657790080569,0.000124685430808064,0.0143684438123517
"LOC105260551","medulla","early_vs_control",2.03472312745973,5.591875678729,5.04159054108236,0.000124711187807912,0.0143684438123517
"FSTL3","medulla","early_vs_control",1.30922543829178,5.95051147268994,5.03590409204014,0.000126135993928114,0.0143684438123517
"SFN","medulla","early_vs_control",2.5793473123771,1.44575128811921,5.03244407396821,0.000127011129377882,0.0143684438123517
"XPO6","medulla","early_vs_control",0.492969994986654,6.85636621920856,5.02204762110386,0.000127503894181581,0.0143684438123517
"MARCKSL1","medulla","early_vs_control",1.19682468567004,4.88088575950415,5.02451106349945,0.000129041274549508,0.0143684438123517
"PEA15","medulla","early_vs_control",1.16928602015842,7.97206956682135,5.02169837422685,0.000129769065757717,0.0143684438123517
"FABP4","medulla","early_vs_control",3.12580596499136,5.29970562048481,5.01840933787925,0.000130625472777858,0.0143684438123517
"RASD1","medulla","early_vs_control",2.38856243533395,5.50564408750077,5.01291626054731,0.000132068761827822,0.0143684438123517
"THSD7B","medulla","early_vs_control",-4.20790008672116,2.17355659325406,-5.01076198964978,0.000132639259655129,0.0143684438123517
"GPR153","medulla","early_vs_control",1.62723988309599,4.93876965114689,5.00645619625507,0.000133787137899874,0.0143684438123517
"CRISPLD2","medulla","early_vs_control",1.8350301830925,6.79219933432693,5.00013468207226,0.000135490932041148,0.0143684438123517
"PPP1R9B","medulla","early_vs_control",0.980524439375788,7.55981383489716,4.99915253018889,0.000135757641168397,0.0143684438123517
"PHF11","medulla","early_vs_control",0.98929919046122,4.68802131978053,4.99171231246081,0.000137177036792126,0.0143684438123517
"LOC102900754","medulla","early_vs_control",-1.4836601765724,8.08490683605268,-4.99045789355152,0.000138142402437001,0.0143684438123517
"FYN","medulla","early_vs_control",0.860965532010827,4.93012155396707,4.97073480169417,0.000141587877044724,0.0143684438123517
"LCNL1","medulla","early_vs_control",2.05383101699592,1.18725320797243,4.97110929358415,0.000142809780050591,0.0143684438123517
"CA2","medulla","early_vs_control",-2.15813055015369,6.63729701220282,-4.9723907746494,0.000143236619004589,0.0143684438123517
"ABHD3","medulla","early_vs_control",-1.75330207695797,3.40209836752009,-4.96965805868257,0.000144023792310051,0.0143684438123517
"HYAL2","medulla","early_vs_control",0.862557976335395,6.54892975712912,4.96078990117351,0.000145583222833098,0.0143684438123517
"LOC101099779","medulla","early_vs_control",-2.89849769918665,3.7642146801924,-4.95964852569322,0.00014694527955016,0.0143684438123517
