"gene_symbol","compartment","contrast","log_fc","ave_expr","t_stat","p_value","fdr"
"HMX2","cortex","late_vs_control",-2.515235270458,2.40694985556568,-5.86122642523493,1.36240123085655e-05,0.00382204004560108
"FUZ","cortex","late_vs_control",-0.583308525445524,5.29607858100261,-5.82509153576769,1.42488840898039e-05,0.00384878551689156
"CD163","cortex","late_vs_control",2.61434866969855,5.33004868310975,5.83615350546293,1.43605457714982e-05,0.00384878551689156
"KCNA4","cortex","late_vs_control",-3.03596214177398,1.40464024407789,-5.83164687559277,1.44972119917508e-05,0.00384878551689156
"ADGRG3","cortex","late_vs_control",2.66574693247318,1.17798920874466,5.82000340210029,1.47355970677742e-05,0.00384878551689156
"MYC","cortex","late_vs_control",1.59369877514418,5.34962834333698,5.80700323199486,1.52685561446089e-05,0.00392039588194372
"GRIN3A","cortex","late_vs_control",2.53740475625096,2.73256333434858,5.77974814357333,1.61709352591884e-05,0.00402024589363734
"TMEM181","cortex","late_vs_control",1.30874992193911,3.69234531607251,5.77125873705157,1.62733038624258e-05,0.00402024589363734
"RRM2","cortex","late_vs_control",1.63351425604535,4.3462637782812,5.77153198865504,1.64535774906274e-05,0.00402024589363734
"UBXN10","cortex","late_vs_control",3.50751332684754,-1.11657944315454,5.73562125171055,1.72234407988671e-05,0.00409405845559333
"INSRR","cortex","late_vs_control",-1.96737758821332,4.97754845790821,-5.74058810043551,1.75644361658658e-05,0.00409405845559333
"FREM3","cortex","late_vs_control",-2.59842363594904,3.15731641750603,-5.72567363401742,1.81270911381573e-05,0.00409405845559333
"GAMT","cortex","late_vs_control",-1.13807072800644,3.54090479049467,-5.7104950069276,1.82130071354947e-05,0.00409405845559333
"SPSB1","cortex","late_vs_control",2.19361074334149,4.34774537718694,5.70112239135145,1.90939478936971e-05,0.00409405845559333
"VEGFA","cortex","late_vs_control",-1.23074129662994,7.51640638988968,-5.69411040321318,1.92319941701976e-05,0.00409405845559333
"HSPB8","cortex","late_vs_control",2.36528319973713,3.02587743801288,5.69673830261478,1.92720958260299e-05,0.00409405845559333
"HRCT1","cortex","late_vs_control",2.5035822063102,1.97486190199362,5.69668964954838,1.92740823968685e-05,0.00409405845559333
"LOX","cortex","late_vs_control",2.51942207908345,2.95108198299749,5.69290686189161,1.94291843427198e-05,0.00409405845559333
"SLC39A5","cortex","late_vs_control",-3.43821428445911,4.36216960276897,-5.69033164505967,1.95355062275901e-05,0.00409405845559333
"SLC7A5","cortex","late_vs_control",2.558292997416,2.42815810719131,5.6856949443801,1.97284485615099e-05,0.00409405845559333
"ALDH1L2","cortex","late_vs_control",2.08507042182596,0.971690918713839,5.65517509038445,2.04415621481423e-05,0.00418471925651631
"PFKM","cortex","late_vs_control",-0.64526396955413,6.16351164694012,-5.64259759114684,2.09978955805221e-05,0.00418641006145247
"CGREF1","cortex","late_vs_control",2.78148510043391,0.844325606742572,5.64984401959952,2.10025192864472e-05,0.00418641006145247
"LOC123385164","cortex","late_vs_control",-5.77029658520091,-0.556865413567016,-5.63063564451431,2.21749648129929e-05,0.00424104458279326
"SLC9A4","cortex","late_vs_control",-3.02709470508515,-0.160038376027468,-5.61286276474995,2.23757645925816e-05,0.00424104458279326
"MOV10L1","cortex","late_vs_control",3.60960823005646,2.01956902054811,5.62141419019333,2.26142088848548e-05,0.00424104458279326
"CLEC12A","cortex","late_vs_control",3.39113047336441,2.35602960241578,5.61692593580556,2.28312180518054e-05,0.00424104458279326
"LOC102901253","cortex","late_vs_control",-1.10605443918287,1.14608198154804,-5.60295730086614,2.28550905097745e-05,0.00424104458279326
"ANKS4B","cortex","late_vs_control",-1.94310389527709,3.73751503929394,-5.6121123170089,2.30663349419772e-05,0.00424104458279326
"LRRN4CL","cortex","late_vs_control",3.7062307837801,4.41691438703779,5.60798355733004,2.32699795284677e-05,0.00424104458279326
"KLF4","cortex","late_vs_control",1.15572960908638,4.1558971639491,5.59792577437491,2.35162548653135e-05,0.00424104458279326
"LAMC2","cortex","late_vs_control",3.3001877889391,3.32020202681923,5.58646589462522,2.43615646045633e-05,0.00431484224799536
"DHDH","cortex","late_vs_control",-2.84322091659751,8.21560297022237,-5.58390155695285,2.44951107880124e-05,0.00431484224799536
"UAP1","cortex","late_vs_control",0.639638144000921,5.22978293650446,5.548041011528,2.57102710051785e-05,0.00447683787882125
"LOC123385846","cortex","late_vs_control",-1.76939686831163,1.27629933901319,-5.53675716003405,2.63408684735255e-05,0.00451497362343082
"LOC102901534","cortex","late_vs_control",-1.90421012984369,1.69171939482961,-5.534154523596,2.66481052760192e-05,0.00451497362343082
"GABRD","cortex","late_vs_control",-3.26081864310595,2.0412957598402,-5.54136246180711,2.68233960069162e-05,0.00451497362343082
"LOC109496190","cortex","late_vs_control",-4.26186838029286,0.560154173298917,-5.52929288752324,2.75244810929588e-05,0.00456181674189509
"PHYHIPL","cortex","late_vs_control",-2.24856364195089,4.15833467103458,-5.52625389377203,2.77039501125056e-05,0.00456181674189509
"FAM117A","cortex","late_vs_control",-1.01983684266635,5.7120186629094,-5.51145515647965,2.84719548840678e-05,0.00461258679110443
"IGFBP5","cortex","late_vs_control",-1.88305195707873,9.4025361056962,-5.50615819978763,2.89213033836138e-05,0.00461258679110443
"PROM1","cortex","late_vs_control",1.81503390002966,3.03259325205358,5.50608686760886,2.89257208498858e-05,0.00461258679110443
"SYPL2","cortex","late_vs_control",-1.74719445564514,0.68653613190183,-5.47624266164714,3.00037089505103e-05,0.00469453760209286
"IL7R","cortex","late_vs_control",3.35248454201548,4.59984589412335,5.48813988262848,3.00594195922508e-05,0.00469453760209286
"LOC102902597","cortex","late_vs_control",-2.42713676808254,1.18195633021827,-5.46885442951115,3.09362564165698e-05,0.0047821770250471
"GRB14","cortex","late_vs_control",-1.99266837553657,2.47778307934643,-5.46307206172122,3.17196562922217e-05,0.0048133053088007
"SLC46A3","cortex","late_vs_control",1.13433153582905,3.77212342764004,5.45010055399245,3.2053985246305e-05,0.0048133053088007
"C5AR1","cortex","late_vs_control",2.51658736637929,2.91837288148507,5.45266726568527,3.24360917682122e-05,0.0048133053088007
"PPRC1","cortex","late_vs_control",0.954859161724421,5.09933282754081,5.43462247493612,3.3261213830718e-05,0.0048133053088007
"IGFBP4","cortex","late_vs_control",1.52214978594836,8.91910526175284,5.43948773075113,3.32643523465019e-05,0.0048133053088007
"LOC109491883","cortex","late_vs_control",-2.49364709719915,3.90947911889692,-5.43504045256516,3.36878726377968e-05,0.0048133053088007
"CD4H9orf116","cortex","late_vs_control",-0.88328600461816,3.35621686037714,-5.41182600842463,3.44797497212967e-05,0.0048133053088007
"SOX9","cortex","late_vs_control",2.6359721810194,2.86196723322793,5.41952766986472,3.48304397834389e-05,0.0048133053088007
"CYP2S1","cortex","late_vs_control",2.68641185879802,0.485636088544033,5.40400463024882,3.5199677523191e-05,0.0048133053088007
"MUC4","cortex","late_vs_control",4.08372074051254,-0.354432600665403,5.40144229319162,3.58080130154588e-05,0.0048133053088007
"MFSD2A","cortex","late_vs_control",3.19075769340256,1.42006370942992,5.40499282444582,3.59369997770805e-05,0.0048133053088007
"ALDH9A1","cortex","late_vs_control",-1.14236717385309,7.71083651157909,-5.39636713941582,3.6133660487638e-05,0.0048133053088007
"IMPA2","cortex","late_vs_control",-0.533122608123413,5.96435827223352,-5.38924275865765,3.62062064928468e-05,0.0048133053088007
"YPEL1","cortex","late_vs_control",-1.2049011694249,4.04543367837632,-5.39312346771396,3.67154655221174e-05,0.0048133053088007
"VTI1B","cortex","late_vs_control",-0.644741361955301,5.17971486793455,-5.3813423652441,3.68308639072423e-05,0.0048133053088007
"CDYL2","cortex","late_vs_control",1.17548714791253,3.56738830971237,5.37985231845594,3.73150859704327e-05,0.0048133053088007
"ETV4","cortex","late_vs_control",2.73843382035105,2.5797645639458,5.37853006417537,3.80450062644619e-05,0.0048133053088007
"EHF","cortex","late_vs_control",1.7461012905278,3.80010541784927,5.3749105951214,3.83430178168682e-05,0.0048133053088007
"OTUD3","cortex","late_vs_control",-0.582710952201164,4.51490273983043,-5.35412024632835,3.90689861001457e-05,0.0048133053088007
