"gene_symbol","compartment","contrast","log_fc","ave_expr","t_stat","p_value","fdr"
"CLCF1","cortex","late_vs_early",1.03651114421259,4.73204355951648,3.69126811413179,0.00161622121296123,0.245341788952025
"EXOC3L2","cortex","late_vs_early",-0.645004556239777,6.11148931451162,-3.68955882821207,0.00161952464817496,0.245341788952025
"PTPN1","cortex","late_vs_early",0.486290637340207,5.93597206630055,3.67805436102125,0.00164718220160011,0.247061021505348
"RRP12","cortex","late_vs_early",0.475830939423792,4.84883410861071,3.66945428079768,0.00167946807737962,0.247084791921384
"MCRIP1","cortex","late_vs_early",-0.301652726045171,6.58444273146581,-3.66754216314338,0.00168673142365059,0.247084791921384
"SLC2A4RG","cortex","late_vs_early",-0.8844372936355,5.18171220523374,-3.65750827969415,0.00174374594266316,0.247084791921384
"CFTR","cortex","late_vs_early",1.63866240760403,2.02217560019718,3.65094417117455,0.00176967838711262,0.247084791921384
"LOC109491544","cortex","late_vs_early",-3.42770045543114,0.287237578714719,-3.64961022620269,0.00177499497782766,0.247084791921384
"PXK","cortex","late_vs_early",0.321894010607184,5.41195611299122,3.64153248329764,0.00178868590618717,0.247084791921384
"LOC109495654","cortex","late_vs_early",-0.841594070540664,0.875294786100194,-3.63897724074572,0.0017990263052109,0.247084791921384
"CB3H15orf40","cortex","late_vs_early",-0.326442529632613,4.38763088911757,-3.63393617546225,0.00181960047671682,0.247084791921384
"FOSL2","cortex","late_vs_early",0.671555136015568,6.61054201797736,3.62515996725934,0.00187307334108135,0.247084791921384
"MYORG","cortex","late_vs_early",0.820924767065938,3.6919230953372,3.62475609321314,0.00187477525240375,0.247084791921384
"ARHGAP36","cortex","late_vs_early",1.99324086765384,-0.258158773025621,3.61864743826236,0.0018834372471215,0.247084791921384
"SUN1","cortex","late_vs_early",0.313877300185237,6.28931637427509,3.61721035078079,0.0018895507139479,0.247084791921384
"LOC123385185","cortex","late_vs_early",-0.463575799527381,4.73237455447253,-3.61288420150728,0.00190807350503921,0.247084791921384
"ABLIM3","cortex","late_vs_early",0.71368701080674,7.03396381484369,3.61397074492702,0.00192114849105369,0.247084791921384
"SLC27A1","cortex","late_vs_early",-0.449230973779239,6.08389213912347,-3.60836665381165,0.00192760800463,0.247084791921384
"RBP5","cortex","late_vs_early",-1.39220074294082,4.86346846997499,-3.61143486923926,0.00193405548870017,0.247084791921384
"OTUD3","cortex","late_vs_early",-0.366885085381873,4.51490273983043,-3.60288825855049,0.00195156358179105,0.247084791921384
"LOC105260059","cortex","late_vs_early",0.493552567103793,4.9503797961382,3.5878489258365,0.00201885450493241,0.247084791921384
"RUNDC3A","cortex","late_vs_early",1.07386500143764,1.08057701436563,3.58077396092636,0.0020513006480771,0.247084791921384
"RIMS4","cortex","late_vs_early",1.05641487349586,2.02175562201288,3.57940126461546,0.00206284403307308,0.247084791921384
"APIP","cortex","late_vs_early",-0.498996439569687,4.84602785894079,-3.57573330195329,0.0020747320354533,0.247084791921384
"PTP4A1","cortex","late_vs_early",0.515209988165161,4.77517346737023,3.57455035105547,0.00208026925829697,0.247084791921384
"KBTBD8","cortex","late_vs_early",1.01915824978005,2.06951664780556,3.57519557370447,0.00208099026723857,0.247084791921384
"KCNJ1","cortex","late_vs_early",-1.41805820064747,5.36016878515696,-3.57858012278238,0.0020822176932177,0.247084791921384
"SLC39A5","cortex","late_vs_early",-2.02301753481858,4.36216960276897,-3.57840985770016,0.00208301411146532,0.247084791921384
"BTBD6","cortex","late_vs_early",-0.539826146188496,4.94819721483227,-3.5702415347619,0.00210422621413119,0.247084791921384
"STAT3","cortex","late_vs_early",0.53348101690326,7.15686516946504,3.56348090738027,0.00213279827870402,0.247084791921384
"GPS2","cortex","late_vs_early",-0.365375414005666,5.64080745845881,-3.56322357332914,0.00213403493014048,0.247084791921384
"TBXA2R","cortex","late_vs_early",-0.621372201519683,3.1314606965414,-3.56280217731063,0.00213606153579203,0.247084791921384
"H6PD","cortex","late_vs_early",0.577047335171702,7.01294870890052,3.56347233544402,0.00213664979481823,0.247084791921384
"PLIN5","cortex","late_vs_early",-1.69779071768185,3.97944892337053,-3.55017400665589,0.00221935088588105,0.250157558175335
"ACBD4","cortex","late_vs_early",-0.383275110352689,4.85986218454372,-3.54544299215151,0.00222122337323138,0.250157558175335
"SSNA1","cortex","late_vs_early",-0.392598239945118,4.94665565517658,-3.54421962306081,0.00222735028001603,0.250157558175335
"UBXN10","cortex","late_vs_early",2.02606619333576,-1.11657944315454,3.54095625441629,0.00224377589799265,0.250157558175335
"IAPP","cortex","late_vs_early",-2.21258237802766,-0.442005898036979,-3.54094926879333,0.00224578704283092,0.250157558175335
"IGFBP4","cortex","late_vs_early",0.924412780670989,8.91910526175284,3.53063114392405,0.00231627887074971,0.254378319990021
"DCTN4","cortex","late_vs_early",0.280905059858512,6.18850249953214,3.52663993897732,0.00231726240402818,0.254378319990021
"BAIAP3","cortex","late_vs_early",-0.738746062462873,2.71509383451677,-3.51949092719576,0.00235484498442576,0.255146186351868
"SCUBE2","cortex","late_vs_early",0.949597359749472,5.26147449899231,3.52317982960109,0.00235794218029319,0.255146186351868
"STMN3","cortex","late_vs_early",-0.704507491142922,4.36126046994568,-3.51400548990392,0.00240473884507189,0.257988661257322
"HMX2","cortex","late_vs_early",-1.40841455186184,2.40694985556568,-3.50773021840401,0.0024410805776659,0.257988661257322
"CD4H9orf116","cortex","late_vs_early",-0.534769832160926,3.35621686037714,-3.50183090937477,0.00245028728094704,0.257988661257322
"LOC101082109","cortex","late_vs_early",1.04911784785672,2.74432735542733,3.49816972215218,0.00249397343882057,0.257988661257322
"SOCS6","cortex","late_vs_early",0.532979056529059,4.09962588928081,3.4900642006876,0.00251599190479761,0.257988661257322
"NUDT5","cortex","late_vs_early",-0.512409901880255,4.99320894217786,-3.48745676538165,0.00253309103759657,0.257988661257322
"SLC18B1","cortex","late_vs_early",-0.857038606213055,3.52546387456004,-3.49011225564128,0.00253942960465213,0.257988661257322
"PMVK","cortex","late_vs_early",-0.656262694709728,6.11864039363549,-3.48708999443653,0.00255669005774677,0.257988661257322
"SNRNP25","cortex","late_vs_early",-0.601748364636413,5.1221353900911,-3.47509119343773,0.00262008536301245,0.257988661257322
