"gene_symbol","err_positive","control_positive","log_fc","fdr","ave_expr"
"AZIN2",TRUE,FALSE,-1.24420564615295,0.0297805288496261,3.70169629945511
"B3GNT7",FALSE,FALSE,-0.837026261067989,0.0498561466846185,2.5822386272824
"B4GALNT3",FALSE,FALSE,-1.68470455641962,0.00827108437420855,4.44787686146882
"B4GAT1",FALSE,FALSE,-0.395213854824369,0.0178870437190186,4.94347841314509
"BABAM1",FALSE,FALSE,-0.204996972669023,0.0921884968274889,5.87042582805794
"BACE2",FALSE,TRUE,-0.565608055496517,0.0823412766933869,7.55346893698477
"BAG4",FALSE,TRUE,-0.282213291987088,0.0602430003668843,3.50053015682265
"BAHCC1",FALSE,FALSE,-0.352808520800786,0.0373507607449843,5.70638884733624
"BAZ2B",TRUE,TRUE,-0.486466324149966,0.0642835667183737,5.46300703143551
"BBIP1",FALSE,FALSE,-0.50418391740607,0.0781658802019006,4.69565186790209
"BBS9",FALSE,FALSE,-0.521783385847363,0.0211188205554735,3.4081254334647
"BCAT2",FALSE,FALSE,-0.905127359185129,0.0132646932047497,6.1818274681088
"BCKDHA",FALSE,FALSE,-0.958111897338785,0.0648851260552399,8.57264416213968
"BCKDHB",FALSE,FALSE,-1.34556197953711,0.0267680751499877,5.62338058835325
"BCKDK",FALSE,TRUE,-0.509986438038801,0.0162353423138491,5.58090329904968
"BCL2L13",FALSE,FALSE,-0.739248104172316,0.0418087988218639,6.87839767010599
"BCL2L2",FALSE,FALSE,-0.279974747750156,0.0896381267984649,4.96944161551477
"BDH2",FALSE,FALSE,-1.489281265327,0.0255759140213152,5.34012677691713
"BEND7",FALSE,FALSE,-1.12967630717787,0.0447508394912041,5.43158491610421
"BET1L",FALSE,TRUE,-0.293017648824403,0.0474243380964525,7.09450812918123
"BEX2",FALSE,FALSE,-0.635646682646397,0.00804402585460711,3.71701755269705
"BEX3",FALSE,FALSE,-0.65887825467413,0.0363445106020173,3.88236356894814
"BICD1",FALSE,FALSE,-0.916668289934486,0.0464631098445426,3.10138008806888
"BIRC7",FALSE,FALSE,-2.24323270846572,0.00820678123813241,0.15320243083616
"BLCAP",FALSE,FALSE,-0.533748479435697,0.0390135119190061,6.54112696431717
"BLOC1S1",FALSE,FALSE,-0.402509768780916,0.0869991698425003,5.29709033405899
"BMERB1",FALSE,FALSE,-2.25667747502159,0.00424906292383473,1.00933253610151
"BMP4",FALSE,FALSE,-0.868490811336286,0.00424906292383473,4.26498402940538
"BNC2",FALSE,FALSE,-1.07697850676007,0.0445338105236657,4.52628733539655
"BNIP3",FALSE,FALSE,-0.756413611724367,0.0680110008662441,7.10765516732797
"BOLA2B",FALSE,TRUE,-0.41276736184814,0.0589993265624855,5.7685917865409
"BOLA3",FALSE,TRUE,-0.548477025822435,0.0476151303405136,5.09153391000349
"BPHL",FALSE,FALSE,-1.13775951058194,0.0263852819753535,6.35531460313693
"BPNT1",FALSE,FALSE,-0.420647666591602,0.0786408573386373,4.38055552256076
"BRCC3",FALSE,FALSE,-0.406295233089025,0.0985943949752203,4.60028287973894
"BRI3",FALSE,FALSE,-0.883401135847897,0.0121229004048676,6.21049908824512
"BRI3BP",FALSE,FALSE,-0.527493617830823,0.0987033400836406,5.30053350353137
"BRIP1",FALSE,FALSE,-0.72978623148602,0.0200156787956317,2.87356422000845
"BSND",FALSE,TRUE,-1.0433146023378,0.023886407704992,3.89947892989084
"BTBD6",FALSE,FALSE,-0.594142857902764,0.0320849932926307,4.94819721483227
"BTD",FALSE,FALSE,-0.462564687135315,0.0875638207770383,5.02920155610901
"BTRC",FALSE,TRUE,-0.400987730223793,0.0810726032858867,5.22174914037994
"BVES",FALSE,FALSE,-0.892245179464881,0.0936862051236918,5.42648293294637
"C1D",TRUE,FALSE,-0.437672504608361,0.0474606382941013,3.67743209106917
"C1QTNF3",FALSE,TRUE,-1.51288840835584,0.0380176638917639,2.7886301262612
"C2CD5",FALSE,FALSE,-0.503161766126545,0.0306240350996879,5.10778508362008
"CA14",FALSE,FALSE,-1.21324718768179,0.00717376791986162,2.50899844932656
"CA15",FALSE,FALSE,-2.18304156282774,0.0273263455938059,5.84239082933873
"CA1H5orf58",TRUE,FALSE,-2.65024424512043,0.0369002570646523,-0.248180953028595
"CA2",FALSE,TRUE,-1.13133663752128,0.0258799028812434,7.87984262827768
"CA3H20orf194",FALSE,FALSE,-0.604561576502823,0.0204142355786451,5.05793227619132
"CA3H2orf73",FALSE,FALSE,-1.26016380830488,0.059810021226605,0.772887691818199
"CA8",FALSE,FALSE,-1.32068511985504,0.0155392344410751,4.41900845584296
"CABP1",FALSE,TRUE,-1.02045605571188,0.0303303849716663,2.49368820442353
"CACNA1S",FALSE,FALSE,-1.95895784602749,0.0144923202630453,0.635176672121868
"CACNA2D3",TRUE,FALSE,-0.892205962640254,0.0495036418614944,1.56470214227575
"CACNB4",FALSE,FALSE,-2.11436481687095,0.0636109358826752,2.5234323215376
"CACYBP",FALSE,TRUE,-0.425646165000093,0.0160352668747372,5.39053673804997
"CADPS2",FALSE,FALSE,-0.756212985801787,0.050690202634166,4.9931449937084
"CALB1",FALSE,FALSE,-2.00027432699626,0.0339307466545142,7.62449413646709
"CALCOCO2",FALSE,FALSE,-0.795848115718945,0.0379002453770975,8.72283969108864
"CALR3",FALSE,FALSE,-1.80181781373762,0.0165687108238692,0.786431015744954
"CAMKK1",FALSE,FALSE,-0.575828825778343,0.0287505460312369,3.55481627028257
"CAMKK2",FALSE,FALSE,-0.813293048696072,0.0186979306140827,6.57327323393383
"CAPRIN1",FALSE,FALSE,-0.286030968168864,0.0966417811897896,7.58002891312539
"CAPRIN2",FALSE,FALSE,-0.668080505795211,0.0100425597277381,4.55346720655722
"CARD14",FALSE,FALSE,-1.29287215810692,0.0964034368655192,1.38508737206699
"CARD6",FALSE,FALSE,-0.799417262655046,0.0199343933589141,3.68347677157725
"CARF",FALSE,FALSE,-0.616567476555991,0.0393701729383061,3.41762460389788
"CARMIL3",FALSE,FALSE,-1.66503556204219,0.0252289967893226,4.53802111243555
"CARNMT1",FALSE,FALSE,-0.373336276975628,0.0481012818059819,4.33330764238965
"CARS2",FALSE,TRUE,-0.686711979762531,0.0821274306735321,4.79412280798446
"CASK",FALSE,FALSE,-0.438422964928141,0.0438336906290197,4.72761250791428
"CASZ1",FALSE,FALSE,-0.51631600394045,0.0703474423992351,4.14053051645072
"CB1H8orf58",FALSE,FALSE,-1.16034252897096,0.041165165947303,5.19991271190163
"CB2H6orf136",FALSE,FALSE,-0.385248260455666,0.0948243822747103,5.39480902981199
"CB3H15orf40",FALSE,TRUE,-0.422722854994683,0.0199549514319108,4.38763088911757
