"gene_symbol","log_fc","fdr","mean_tissues","frac_kidney_specific","mean_fold_change","n_enhancers","state"
"ADK",-1.00578021845556,0.104438737783507,4.5,0,8.772,2,"unchanged"
"ADNP2",0.0589172497412678,0.72237828815101,7,0,15.12,2,"unchanged"
"ADORA2A",-0.219305364647683,0.50183526476678,3.25,0,3.777,4,"unchanged"
"ADORA2B",1.88768584186236,0.0437744275298405,5,0,4.908,1,"induced"
"ADORA3",1.83863496683851,0.044557464902497,7,0,3.65,1,"induced"
"ADPRM",0.158572856657353,0.626942804794872,3,0.667,4.168,3,"unchanged"
"ADPRS",0.212223769020932,0.124117828214287,2,0,2.76,1,"unchanged"
"ADRA1A",0.157646687978401,0.819533658149259,2,0,4.814,2,"unchanged"
"ADRA1D",0.163084916153834,0.81281949800575,1,1,2.846,1,"unchanged"
"ADRA2B",-1.01166769469012,0.0777508447513295,2,0.545,4.35,11,"repressed"
"ADRM1",-0.0463519932148992,0.799896212441936,1,1,3.067,1,"unchanged"
"ADSS1",-1.58649359438047,0.00793978426049497,4,0,3.834,1,"repressed"
"ADTRP",-0.684214467601906,0.416416956511985,2.2,0.6,5.788,5,"unchanged"
"AEBP2",-0.185254863641825,0.408940921471229,1.5,0.5,3.264,4,"unchanged"
"AFAP1L1",-0.360220903463196,0.259985730502132,4.667,0,4.171,3,"unchanged"
"AFF3",0.76162056283518,0.319814206965405,6,0,6.288,1,"unchanged"
"AFF4",-0.117553718665991,0.687005645660556,1,1,5.233,1,"unchanged"
"AFMID",-1.13050885917797,0.137905538448814,2,0,4.141,1,"unchanged"
"AGAP2",1.8503346638707,0.0330569629809659,6,0,7.055,1,"induced"
"AGBL2",0.0887984254281355,0.822528241990901,3.5,0.5,3.795,2,"unchanged"
"AGBL3",-0.862505325833644,0.102575206965285,2,0,9.489,1,"unchanged"
"AGFG1",0.136079658208799,0.334573374607655,3.5,0,3.079,2,"unchanged"
"AGFG2",0.482645160919136,0.0450988620285199,5.5,0,4.626,4,"induced"
"AGK",0.0619791062075308,0.731728929889203,3,0.5,3.699,6,"unchanged"
"AGL",-0.819927474933523,0.0365318809026318,1,1,1.916,1,"repressed"
"AGO4",-0.0340580972075388,0.865008732480177,4,0,3.757,2,"unchanged"
"AGPAT2",-0.275770706029081,0.531372946252713,1,1,3.067,2,"unchanged"
"AGPAT3",-0.766449831415724,0.0376381069757925,3.5,0,5.701,2,"repressed"
"AGPAT4",1.10248634948043,0.035129683360699,3.5,0,5.143,4,"induced"
"AGPS",-1.32901653182538,0.0249170080369284,1,1,3.941,4,"repressed"
"AGRN",0.383591130214608,0.215810336698877,5.5,0,8.238,2,"unchanged"
"AGTR1",-0.506984865439518,0.217207693771341,2.5,0.5,2.659,2,"unchanged"
"AGXT",-0.76063206319166,0.265920842521144,3,0,2.914,1,"unchanged"
"AGXT2",-1.15485401821496,0.261148634156985,2,0,5.336,4,"unchanged"
"AHCTF1",-0.282041061546336,0.165425247304116,1,1,4.447,2,"unchanged"
"AHCY",-1.07959352795471,0.0332173050185885,4,0,4.141,3,"repressed"
"AHCYL1",0.00731687008300952,0.963055195364393,5,0,3.895,1,"unchanged"
"AHNAK",0.454688591376723,0.126236536328256,6,0,29.795,1,"unchanged"
"AHRR",0.0206048258945912,0.969051020141132,1,1,2.196,1,"unchanged"
"AIF1",-0.451124279536858,0.306238810838713,1,1,2.796,1,"unchanged"
"AIFM3",-1.20997712834044,0.0125469047404911,3.5,0.5,4.232,2,"repressed"
"AIMP1",-0.0174211042280907,0.894550682012628,2,0,3.874,1,"unchanged"
"AIP",-0.314700688899324,0.122656670910152,5,0,3.796,3,"unchanged"
"AK1",0.554234884252312,0.101060162572761,7,0,9.401,1,"unchanged"
"AK2",-0.614851285202179,0.112807580207928,2,0,3.681,1,"unchanged"
"AK3",0.189814050426966,0.648737439701377,4,0,3.74,1,"unchanged"
"AK8",-0.373500005974673,0.223336584015124,6.5,0,4.637,2,"unchanged"
"AKAP11",-0.308327955661316,0.195822130852347,5,0,6.292,1,"unchanged"
"AKAP12",0.486968524345427,0.150064554815543,3.2,0,3.47,5,"unchanged"
